species_latin,species_name,name,early ripens,late ripens,origin_year,city,county,state,country,uses,in-db,RIPEN FOR LA,sentence,
Malus domestica,Apple,Abbondanza,,,1896,Molinella,,,Italy,,0,,,
Malus domestica,Apple,Alabama 2,Early August,Late August,,,,,United States,f,1,,,
Malus domestica,Apple,Allum,November,December,1840,,Rockingham County,North Carolina,United States,f,1,,,
Malus domestica,Apple,Amelia Apple,Early October,Late October,Pre-1960s,,,,Brazil,f,1,,,
Malus domestica,Apple,Anna,Early July,Late July,1959,,,,Israel,f,1,,,
Malus domestica,Apple,Arkansas Black,Late November,December,1870,,,Arkansas,United States,fcyp,1,,,
Malus domestica,Apple,Arkansas Sweet,November,December,1905,,,Arkansas,United States,f,1,,,
Malus domestica,Apple,ArkCharm,Early August,Late August,New,,,Arkansas,United States,fdj,1,,,
Malus domestica,Apple,Atha,June,July,Pre-1914,,,Alabama,United States,f,1,,,
Malus domestica,Apple,Aunt Rachel,July,August,,,,North Carolina,United States,fc,1,,,
Malus domestica,Apple,Banon's Seedling,,,Pre-1963,,,Punjab,India,f,1,,,
Malus domestica,Apple,Bean,August,September,1598,,,,Germany,c,1,,,
Malus domestica,Apple,Bella de Jardins,,,,Zaragoza,,Zaragoza,Spain,,0,,,
Malus domestica,Apple,Ben Davis,Early October,Late October,1799,,,Virginia,United States,f,1,,,
Malus domestica,Apple,Black Limbertwig,September,October,1914,,,Georgia,United States,jpy,1,,,
Malus domestica,Apple,Blacktwig,September,October,,,,,United States,fcdjy,1,,,
Malus domestica,Apple,Blairmont,July,Late July,Pre-1982,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Bramley's Seedling,Late September,Late September,1809,,,,England,c,1,,,
Malus domestica,Apple,Branch,September,October,,,,North Carolina,United States,f,1,,,
Malus domestica,Apple,Bravo de Esmolte,,,,,,,Portugal,,0,,,
Malus domestica,Apple,Brogden,August,September,1945,,,Alabama,United States,f,1,,,
Malus domestica,Apple,Brushy Mountain Limbertwig,Early October,Late October,,,,North Carolina,United States,f,1,,,
Malus domestica,Apple,Buckingham,August,September,Late 1700s,,,Virginia,United States,fcdjy,1,,,
Malus domestica,Apple,Buff,September,October,Pre-1853,,,North Carolina,United States,cdp,1,,,
Malus domestica,Apple,Canavial-14,,,,,,,Portugal,,0,,,
Malus domestica,Apple,Capt. Davis,July,August,Late 1860s,,,Mississippi,United States,c,1,,,
Malus domestica,Apple,Carolina Red June,June,July,1798,,,North Carolina,United States,fc,1,,,
Malus domestica,Apple,Carroll,,,,,,Manitoba,Canada,,0,,,
Malus domestica,Apple,Carter's Blue,Late September,Late September,1840s,,,Alabama,United States,f,1,,Blue Tinted with the Fragrance of a Rose,
Malus domestica,Apple,Casa Nova de Alco Baca,,,,,,,Portugal,,0,,,
Malus domestica,Apple,Cauley,Early August,August,1919,,,Mississippi,United States,f,1,,As crisp and satisfying as an autumn morning in Mississippi,
Malus domestica,Apple,Chickasaw,June,July,,,,Mississippi,United States,f,1,,,
Malus domestica,Apple,Chimney,Early August,Late August,1875,,,Virginia,United States,fd,1,,,
Malus domestica,Apple,Circassian,,,,,,,Russia,,0,,,
Malus domestica,Apple,Coast,Early September,Late September,Pre-1970,,,,South Africa,f,1,,,
Malus domestica,Apple,Cornish Gilliflower,Early October,Late October,1813,,,Cornwall,England,f,1,,,
Malus domestica,Apple,Cox Yellow,,,,,,Mississippi,United States,f,1,,,
Malus domestica,Apple,Cranberry of Georgia,Late August,Late August,1855,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Cullasaga,Early October,Late October,1850,,,North Carolina,United States,f,1,,,
Malus domestica,Apple,Dan McDonald,Early September,Early September,,,,Mississippi,United States,,1,,,
Malus domestica,Apple,Del Cirio,,,,,,Zaragoza,Spain,,0,,,
Malus domestica,Apple,Delikates,Early September,Late September,,,,,South Africa,f,1,,,
Malus domestica,Apple,Disharoon,September,October,1855,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Dixie Red Delight,September,October,Early 1900s,,,Alabama,United States,f,1,,Sharp and sweet fruit with an alluring aroma,
Malus domestica,Apple,Dorset Golden,Early July,Late July,1954,,,,Bahamas,f,1,,,
