common_name,latin_name
Feijoa,Acca
Kiwifruit,Actinidia
Pineapple,Ananas
Bearberry,Arctostaphylos
Breadfruit,Artocarpus
Starfruit,Averrhoa
Caper berry,Capparis
Papaya,Caricaceae
Watermelon,Citrullus
Citrus,Citrus
Coconut,Cocos
Melon,Cucumis
Quince,Cydonia
Loquat,Eriobotrya
Acai,Euterpe
Fig,Ficus
Strawberry,Fragaria
Honey Locust,Gleditsia
Dragon fruit,Hylocereus
Lychee,Litchi
Apple,Malus
Mango,Mangifera
Mulberry,Moraceae
Banana,Musa
Camu-camu,Myrciaria
Olive,Olea
Prickly pear,Opuntia
Passion fruit,Passiflora L.
Avocado,Persea
Date,Phoenix
Allspice,Pimenta
Plantain,Plantago
Cherry,Prunus
Guava,Psidium
Pomegranate,Punica
Pear,Pyrus
Rhubarb,Rheum
Currant,Ribes
Rose hips,Rosa
Rubus,Rubus
Elderberry,Sambucus
Solanaceae,Solanaceae
Pitaya,Stenocereus
Tamarind,Tamarindus
Berry,Vaccinium
Grape,Vitis
